vin	V(vo1)	V(vo2)
-5.680000000000092e+00	-9.995944e+00	1.765127e+00
-5.670000000000092e+00	-9.995943e+00	1.794972e+00
-5.660000000000093e+00	-9.995942e+00	1.824818e+00
-5.650000000000093e+00	-9.995941e+00	1.854664e+00
-5.640000000000093e+00	-9.995940e+00	1.884510e+00
-5.630000000000093e+00	-9.995938e+00	1.914356e+00
-5.620000000000093e+00	-9.995937e+00	1.944203e+00
-5.610000000000094e+00	-9.995936e+00	1.974050e+00
-5.600000000000094e+00	-9.995935e+00	2.003896e+00
-5.590000000000094e+00	-9.995934e+00	2.033744e+00
-5.580000000000094e+00	-9.995934e+00	2.063591e+00
-5.570000000000094e+00	-9.995933e+00	2.093439e+00
-5.560000000000095e+00	-9.995931e+00	2.123287e+00
-5.550000000000095e+00	-9.995930e+00	2.153135e+00
-5.540000000000095e+00	-9.995929e+00	2.182984e+00
-5.530000000000095e+00	-9.995928e+00	2.212832e+00
-5.520000000000095e+00	-9.995927e+00	2.242681e+00
-5.510000000000096e+00	-9.995926e+00	2.272530e+00
-5.500000000000096e+00	-9.995925e+00	2.302380e+00
-5.490000000000096e+00	-9.995923e+00	2.332229e+00
-5.480000000000096e+00	-9.995922e+00	2.362079e+00
-5.470000000000097e+00	-9.995921e+00	2.391929e+00
-5.460000000000097e+00	-9.995920e+00	2.421779e+00
-5.450000000000097e+00	-9.995919e+00	2.451629e+00
-5.440000000000097e+00	-9.995918e+00	2.481480e+00
-5.430000000000097e+00	-9.995917e+00	2.511331e+00
-5.420000000000098e+00	-9.995915e+00	2.541182e+00
-5.410000000000098e+00	-9.995914e+00	2.571033e+00
-5.400000000000098e+00	-9.995914e+00	2.600885e+00
-5.390000000000098e+00	-9.995913e+00	2.630737e+00
-5.380000000000098e+00	-9.995912e+00	2.660589e+00
-5.370000000000099e+00	-9.995911e+00	2.690441e+00
-5.360000000000099e+00	-9.995910e+00	2.720293e+00
-5.350000000000099e+00	-9.995908e+00	2.750146e+00
